ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
cjsm99g8922v30728ippazbj9,cjsdreh7wa7og0bqpb97hdf57,https://storage.googleapis.com/labelbox-193903.appspot.com/cjr2c97rdq7tr073725l61coe%2F22a59c44-1689-ce4d-9281-cc9682dc05fb-video33543.mp4__frame22.png,Skip,jplineb@clemson.edu,FAST,1551214837000,1555608582000,1.99,video33543.mp4__frame22.png,0,,,,FAST_8_Part5,[],https://image-segmentation-v4.labelbox.com?project=cjrap3v2e571j0737o8evqfxk&label=cjsm99g8922v30728ippazbj9
cjsm99hgw29s60812xv6mp9b2,cjsdreh7wa7ok0bqpfuxmmol7,https://storage.googleapis.com/labelbox-193903.appspot.com/cjr2c97rdq7tr073725l61coe%2Fdd919bfa-81ab-a4a8-20e4-df35e5502f74-video33543.mp4__frame44.png,Skip,jplineb@clemson.edu,FAST,1551214838000,1555608586000,1.422,video33543.mp4__frame44.png,0,,,,FAST_8_Part5,[],https://image-segmentation-v4.labelbox.com?project=cjrap3v2e571j0737o8evqfxk&label=cjsm99hgw29s60812xv6mp9b2
cjsm99oex2a270812zva9ppha,cjsdreh7wa7oo0bqpn0dcvq87,https://storage.googleapis.com/labelbox-193903.appspot.com/cjr2c97rdq7tr073725l61coe%2F6d11db26-5bfe-91e4-4c9b-f11971a1411a-video33543.mp4__frame66.png,Skip,jplineb@clemson.edu,FAST,1551214847000,1555608591000,8.785,video33543.mp4__frame66.png,0,,,,FAST_8_Part5,[],https://image-segmentation-v4.labelbox.com?project=cjrap3v2e571j0737o8evqfxk&label=cjsm99oex2a270812zva9ppha
cjsm99phd2a3n0812lvus0q5p,cjsdreh7wa7os0bqppq58bkyh,https://storage.googleapis.com/labelbox-193903.appspot.com/cjr2c97rdq7tr073725l61coe%2Fb1ed1dc9-6094-7ff2-33c9-314944e80b23-video33543.mp4__frame88.png,Skip,jplineb@clemson.edu,FAST,1551214849000,1555608595000,1.184,video33543.mp4__frame88.png,0,,,,FAST_8_Part5,[],https://image-segmentation-v4.labelbox.com?project=cjrap3v2e571j0737o8evqfxk&label=cjsm99phd2a3n0812lvus0q5p
cjsm99qlr23aw0728nz3rpu9u,cjsdreh7wa7ow0bqp8y421il7,https://storage.googleapis.com/labelbox-193903.appspot.com/cjr2c97rdq7tr073725l61coe%2F08262a40-e917-c99e-0644-cd7315c4777b-video33543.mp4__frame110.png,Skip,jplineb@clemson.edu,FAST,1551214850000,1555608600000,1.237,video33543.mp4__frame110.png,0,,,,FAST_8_Part5,[],https://image-segmentation-v4.labelbox.com?project=cjrap3v2e571j0737o8evqfxk&label=cjsm99qlr23aw0728nz3rpu9u
cjsm99rto2a93081291yndb6v,cjsdreh7wa7p00bqpi2bav9jh,https://storage.googleapis.com/labelbox-193903.appspot.com/cjr2c97rdq7tr073725l61coe%2F97d8afd3-2f15-3348-36e7-a21fba276c2f-video33543.mp4__frame132.png,Skip,jplineb@clemson.edu,FAST,1551214852000,1555608605000,1.41,video33543.mp4__frame132.png,0,,,,FAST_8_Part5,[],https://image-segmentation-v4.labelbox.com?project=cjrap3v2e571j0737o8evqfxk&label=cjsm99rto2a93081291yndb6v
cjsm99t0w23f70728ssu1dglv,cjsdreh7wa7p40bqp0n6dhqht,https://storage.googleapis.com/labelbox-193903.appspot.com/cjr2c97rdq7tr073725l61coe%2F91954437-5b60-8829-7e26-1eb4024cc7e0-video33543.mp4__frame154.png,Skip,jplineb@clemson.edu,FAST,1551214853000,1555608609000,1.345,video33543.mp4__frame154.png,0,,,,FAST_8_Part5,[],https://image-segmentation-v4.labelbox.com?project=cjrap3v2e571j0737o8evqfxk&label=cjsm99t0w23f70728ssu1dglv
cjsm99ub42ace08129u2jhnkv,cjsdreh7wa7p80bqpy7tpfm5o,https://storage.googleapis.com/labelbox-193903.appspot.com/cjr2c97rdq7tr073725l61coe%2F9db432c3-7c6c-fc22-2552-fe918feb7495-video33543.mp4__frame176.png,Skip,jplineb@clemson.edu,FAST,1551214855000,1555608620000,1.476,video33543.mp4__frame176.png,0,,,,FAST_8_Part5,[],https://image-segmentation-v4.labelbox.com?project=cjrap3v2e571j0737o8evqfxk&label=cjsm99ub42ace08129u2jhnkv
cjsm99yz82ak60812fwfw10c9,cjsdreh7wa7pc0bqpeav5lvjd,https://storage.googleapis.com/labelbox-193903.appspot.com/cjr2c97rdq7tr073725l61coe%2Fda781ea0-2ff7-c7a4-1ed1-8bf2fe3bdbd9-video33544.mp4__frame22.png,Skip,jplineb@clemson.edu,FAST,1551214861000,1555608650000,5.843,video33544.mp4__frame22.png,0,,,,FAST_8_Part5,[],https://image-segmentation-v4.labelbox.com?project=cjrap3v2e571j0737o8evqfxk&label=cjsm99yz82ak60812fwfw10c9
cjsm9a2ll23qn0728nx7o4tby,cjsdreh7ya7pg0bqp1n65l3co,https://storage.googleapis.com/labelbox-193903.appspot.com/cjr2c97rdq7tr073725l61coe%2Feeb7177c-3c45-0808-f473-0bbdabf8ae05-video33544.mp4__frame44.png,Skip,jplineb@clemson.edu,FAST,1551214866000,1555608657000,4.256,video33544.mp4__frame44.png,0,,,,FAST_8_Part5,[],https://image-segmentation-v4.labelbox.com?project=cjrap3v2e571j0737o8evqfxk&label=cjsm9a2ll23qn0728nx7o4tby
