,Filename,Quality_1,Quality_2,Quality_3,Quality_4,Quality_5,Predicted_Quality
0,video23796.mp4__frame66.png,0.013,0.767,0.221,0.232,0.022,3.2479999999999998
1,video23796.mp4__frame88.png,0.016,0.084,0.032,0.88,0.004,3.82
2,video23797.mp4__frame110.png,0.165,0.151,0.827,0.009,0.001,2.989
3,video23797.mp4__frame132.png,0.03,0.484,0.142,0.668,0.0,4.096
4,video23797.mp4__frame154.png,0.009,0.892,0.043,0.026,0.0,2.026
5,video23797.mp4__frame176.png,0.107,0.88,0.018,0.011,0.0,1.965
6,video23797.mp4__frame22.png,0.0,0.0,0.888,0.098,0.0,3.056
7,video23797.mp4__frame44.png,0.0,0.0,0.884,0.112,0.001,3.105
8,video23797.mp4__frame66.png,0.287,0.45,0.615,0.012,0.0,3.08
9,video23797.mp4__frame88.png,0.686,0.372,0.153,0.123,0.001,2.386
10,video23798.mp4__frame110.png,0.093,0.225,0.696,0.316,0.001,3.9000000000000004
11,video23798.mp4__frame132.png,0.002,0.029,0.7,0.545,0.0,4.34
12,video23798.mp4__frame154.png,0.002,0.009,0.841,0.266,0.0,3.6069999999999998
13,video23798.mp4__frame176.png,0.002,0.014,0.883,0.103,0.0,3.0909999999999997
14,video23798.mp4__frame22.png,0.025,0.838,0.253,0.01,0.001,2.505
15,video23798.mp4__frame44.png,0.004,0.076,0.88,0.053,0.0,3.0080000000000005
16,video23798.mp4__frame66.png,0.001,0.02,0.894,0.045,0.0,2.903
17,video23798.mp4__frame88.png,0.005,0.18,0.822,0.158,0.001,3.4679999999999995
18,video23799.mp4__frame110.png,0.015,0.065,0.699,0.51,0.0,4.282
19,video23799.mp4__frame132.png,0.001,0.018,0.808,0.352,0.0,3.869
20,video23799.mp4__frame154.png,0.002,0.006,0.649,0.622,0.0,4.449
21,video23799.mp4__frame176.png,0.0,0.011,0.707,0.549,0.0,4.339
22,video23799.mp4__frame22.png,0.015,0.076,0.503,0.698,0.002,4.478
23,video23799.mp4__frame44.png,0.104,0.13,0.826,0.099,0.001,3.2429999999999994
24,video23799.mp4__frame66.png,0.048,0.191,0.478,0.633,0.001,4.401
25,video23799.mp4__frame88.png,0.028,0.033,0.557,0.675,0.001,4.470000000000001
26,video23835.mp4__frame110.png,0.05,0.718,0.328,0.21,0.001,3.3149999999999995
